rank,name,state,score,admission_rate,sat_average,completion_rate,earnings_10_year_median,known_fields,unknown_fields
153,United States Merchant Marine Academy,NY,0.84450360,0.3424,1207,0.8149,90610,5,14
154,Yeshiva Ohr Yisrael,NY,0.84158098,0.5,,,,2,17
155,American University,DC,0.84128310,0.6196,1381,0.77,77370,6,13
156,Illinois Institute of Technology,IL,0.84104973,0.5493,1311,0.74,82592,6,13
157,Illinois Wesleyan University,IL,0.84052271,0.3931,1275,0.781,70871,6,13
158,Stanbridge University,CA,0.84008597,0.1,,0.7239,62144,0,19
159,Auburn University,AL,0.83846312,0.4592,1345,0.8058,65337,6,13
160,Marist University,NY,0.83789076,0.5651,1295,0.7972,77819,6,13
161,St Lawrence University,NY,0.83740493,0.5434,1371,0.7937,67258,6,13
162,Oberlin College,OH,0.83603474,0.3418,1447,0.8022,58343,6,13
163,Centre College,KY,0.83599894,0.5436,1352,0.8312,66240,6,13
164,Clark University,MA,0.83578881,0.3954,1370,0.7703,62381,6,13
165,University of Pittsburgh-Pittsburgh Campus,PA,0.83434602,0.5808,1370,0.8493,66125,6,13
166,Wofford College,SC,0.83180652,0.5194,1296,0.8249,68964,6,13
167,CUNY Bernard M Baruch College,NY,0.82865611,0.4752,1280,0.7211,75971,5,14
168,DePauw University,IN,0.82844802,0.5719,1340,0.7741,70527,6,13
169,Baylor University,TX,0.82772898,0.5128,1329,0.8007,65793,6,13
170,Milwaukee School of Engineering,WI,0.82721813,0.5893,,0.6916,89070,3,16
171,University of Florida-Online,FL,0.82493775,0.6126,1338,0.8117,71588,5,14
172,Texas A&M University-College Station,TX,0.82394356,0.5743,1280,0.8385,72097,6,13
173,Brigham Young University,UT,0.82294688,0.6778,1376,0.8157,75790,6,13
174,Albany College of Pharmacy and Health Sciences,NY,0.81933158,0.5269,1252,0.6817,131426,6,13
175,The University of the South,TN,0.81911785,0.569,1344,0.8104,64911,6,13
176,New Jersey Institute of Technology,NJ,0.81769977,0.6507,1337,0.7292,84276,6,13
177,University of Dayton,OH,0.81759774,0.6545,1335,0.8086,75537,6,13
178,Emerson College,MA,0.81735264,0.5131,1358,0.782,62832,6,13
179,University of San Francisco,CA,0.81523428,0.6171,1295,0.706,89812,6,13
180,Chapman University,CA,0.81253564,0.6543,1357,0.8112,70070,6,13
181,Citadel Military College of South Carolina,SC,0.81208605,0.2272,1208,0.7393,72085,6,13
182,Washington University of Science and Technology,VA,0.81044510,0.0726,,0.5966,,1,18
183,Stonehill College,MA,0.80929693,0.6628,,0.7844,77745,3,16
184,Bryant University,RI,0.80906440,0.6546,1265,0.8018,90008,6,13
185,Soka University of America,CA,0.80893538,0.4338,1440,0.894,55017,5,14
186,Pennsylvania State University-Main Campus,PA,0.80732156,0.6056,1337,0.8589,63435,6,13
187,Ohio State University-Main Campus,OH,0.80525550,0.6057,1387,0.8773,60409,6,13
188,Rochester Institute of Technology,NY,0.80448719,0.6693,1383,0.7034,76571,6,13
189,Rose-Hulman Institute of Technology,IN,0.80325929,0.7686,1427,0.8002,101253,6,13
190,California State University-Long Beach,CA,0.79791635,0.4627,,0.6933,64403,3,16
191,The University of Tennessee-Knoxville,TN,0.79691334,0.416,1311,0.7372,60249,6,13
192,The College of New Jersey,NJ,0.79610534,0.6229,1246,0.8554,73323,6,13
193,Methodist College,IL,0.79553658,0.3889,,0.6216,69800,3,16
194,Sacred Heart University,CT,0.79447858,0.6536,,0.7397,75059,3,16
195,Drake University,IA,0.79415834,0.6385,1292,0.7568,71901,6,13
196,Hobart William Smith Colleges,NY,0.79216109,0.6399,1319,0.7494,68831,6,13
197,Whitworth University-Adult Degree Programs,WA,0.78807724,0.2857,,,58561,1,18
198,Lake Forest College,IL,0.78784996,0.5681,1343,0.7426,61825,6,13
199,Gustavus Adolphus College,MN,0.78623416,0.6099,1290,0.7627,65607,6,13
200,University of Vermont,VT,0.78247959,0.653,1374,0.7857,62472,6,13
